"Job Outlook (In order, best to worst)",,,,,,,,,,,
,,"$108,020 per year",,,,,,,,,
,,$51.93 per hour,,,,,,,,,
,,Bachelor's degree,,,,,,,,,
,,None,,,,,,,,,
,,None,,,,,,,,,
,,"202,900",,,,,,,,,
,,36% (Much faster than average),,,,,,,,,
,,"73,100",,,,,,,,,
,,,,,,,,,,,
Quick Facts,2023 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2023","Job Outlook, 2023-33","Employment Change, 2023-33",State/Area,Work Environment,,
job,pay,edu,exp,train,n_employed,outlook,change_employment,top_places,physical_work_environment,social_work_environment,
Data Scientist,108020,BS,None,None,202900,36,73100,DC,"office, remote, outside",team or solo,
,,,,,,,,,,,
,,"$81,390 per year",,,,,,,,,
,,$39.13 per hour,,,,,,,,,
,,Master's degree,,,,,,,,,
,,None,,,,,,,,,
,,None,,,,,,,,,
,,"11,000",,,,,,,,,
,,19% (Much faster than average),,,,,,,,,
,,"2,100",,,,,,,,,
,,,,,,,,,,,
Quick Facts,2023 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2023","Job Outlook, 2023-33","Employment Change, 2023-33",State/Area,Work Environment,,
job,pay,edu,exp,train,n_employed,outlook,change_employment,top_places,physical_work_environment,social_work_environment,
Epidemiologist,81390,MS,None,None,11000,19,2100,Washington,"office, remote, lab, field",team or solo,
,,,,,,,,,,,
,,"$131,860 per year",,,,,,,,,
,,$63.39 per hour,,,,,,,,,
,,Doctoral or professional degree,,,,,,,,,
,,None,,,,,,,,,
,,None,,,,,,,,,
,,"49,300",,,,,,,,,
,,9% (Much faster than average),,,,,,,,,
,,"4,300",,,,,,,,,
,,,,,,,,,,,
Quick Facts,2023 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2023","Job Outlook, 2023-33","Employment Change, 2023-33",State/Area,Work Environment,,
job,pay,edu,exp,train,n_employed,outlook,change_employment,top_places,physical_work_environment,social_work_environment,
Optometrist,131860,Doctoral or professional,None,None,49300,9,4300,North Dakota,office,team or solo,
,,,,,,,,,,,
,,"$104,860 per year",,,,,,,,,
,,$50.41 per hour,,,,,,,,,
,,Master's degree,,,,,,,,,
,,None,,,,,,,,,
,,None,,,,,,,,,
,,"34,800",,,,,,,,,
,,11% (Much faster than average),,,,,,,,,
,,"3,900",,,,,,,,,
,,,,,,,,,,,
Quick Facts,2023 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2023","Job Outlook, 2023-33","Employment Change, 2023-33",State/Area,Work Environment,,
